69261, 21293, 66, 0, 20210911, 2046 
69262, 21293, 66, 0, 20210918, 2046 
69264, 21294, 66, 0, 20210911, 3526 
69265, 21294, 66, 0, 20210918, 3526 
69267, 21295, 66, 0, 20210911, 3529 
69268, 21295, 66, 0, 20210918, 3529 
69308, 21333, 66, 1, 20210912, 3556 
69309, 21334, 66, 1, 20210912, 1598B 
69310, 21335, 66, 1, 20210912, 3557 
69311, 21336, 66, 1, 20210912, 3558 
81230, 23991, 94, 0, 20210907, 2689 
81231, 23991, 94, 0, 20210908, 2689 
81232, 23991, 94, 0, 20210909, 2689 
81233, 23991, 94, 0, 20210910, 2689 
81234, 23991, 94, 0, 20210913, 2689 
81235, 23991, 94, 0, 20210914, 2689 
81236, 23991, 94, 0, 20210915, 2689 
81237, 23991, 94, 0, 20210916, 2689 
81238, 23991, 94, 0, 20210917, 2689 
81240, 23992, 94, 0, 20210907, 2690 
81241, 23992, 94, 0, 20210908, 2690 
81242, 23992, 94, 0, 20210909, 2690 
81243, 23992, 94, 0, 20210910, 2690 
81244, 23992, 94, 0, 20210913, 2690 
81245, 23992, 94, 0, 20210914, 2690 
81246, 23992, 94, 0, 20210915, 2690 
81247, 23992, 94, 0, 20210916, 2690 
81248, 23992, 94, 0, 20210917, 2690 
81250, 23993, 94, 0, 20210907, 2691 
81251, 23993, 94, 0, 20210908, 2691 
81252, 23993, 94, 0, 20210909, 2691 
81253, 23993, 94, 0, 20210910, 2691 
81254, 23993, 94, 0, 20210913, 2691 
81255, 23993, 94, 0, 20210914, 2691 
81256, 23993, 94, 0, 20210915, 2691 
81257, 23993, 94, 0, 20210916, 2691 
81258, 23993, 94, 0, 20210917, 2691 
81260, 23994, 94, 0, 20210907, 2692 
81261, 23994, 94, 0, 20210908, 2692 
81262, 23994, 94, 0, 20210909, 2692 
81263, 23994, 94, 0, 20210910, 2692 
81264, 23994, 94, 0, 20210913, 2692 
81265, 23994, 94, 0, 20210914, 2692 
81266, 23994, 94, 0, 20210915, 2692 
81267, 23994, 94, 0, 20210916, 2692 
81268, 23994, 94, 0, 20210917, 2692 
81270, 23995, 94, 0, 20210907, 7395 
81271, 23995, 94, 0, 20210908, 7395 
81272, 23995, 94, 0, 20210909, 7395 
81273, 23995, 94, 0, 20210910, 7395 
81274, 23995, 94, 0, 20210913, 7395 
81275, 23995, 94, 0, 20210914, 7395 
81276, 23995, 94, 0, 20210915, 7395 
81277, 23995, 94, 0, 20210916, 7395 
81278, 23995, 94, 0, 20210917, 7395 
81280, 23996, 94, 0, 20210907, 7396 
81281, 23996, 94, 0, 20210908, 7396 
81282, 23996, 94, 0, 20210909, 7396 
81283, 23996, 94, 0, 20210910, 7396 
81284, 23996, 94, 0, 20210913, 7396 
81285, 23996, 94, 0, 20210914, 7396 
81286, 23996, 94, 0, 20210915, 7396 
81287, 23996, 94, 0, 20210916, 7396 
81288, 23996, 94, 0, 20210917, 7396 
81290, 23997, 94, 1, 20210907, 7396 
81291, 23997, 94, 1, 20210908, 7396 
81292, 23997, 94, 1, 20210909, 7396 
81293, 23997, 94, 1, 20210910, 7396 
81294, 23997, 94, 1, 20210913, 7396 
81295, 23997, 94, 1, 20210914, 7396 
81296, 23997, 94, 1, 20210915, 7396 
81297, 23997, 94, 1, 20210916, 7396 
81298, 23997, 94, 1, 20210917, 7396 
81300, 23998, 94, 1, 20210907, 7606 
81301, 23998, 94, 1, 20210908, 7606 
81302, 23998, 94, 1, 20210909, 7606 
81303, 23998, 94, 1, 20210910, 7606 
81304, 23998, 94, 1, 20210913, 7606 
81305, 23998, 94, 1, 20210914, 7606 
81306, 23998, 94, 1, 20210915, 7606 
81307, 23998, 94, 1, 20210916, 7606 
81308, 23998, 94, 1, 20210917, 7606 
81310, 23999, 94, 1, 20210907, 2693 
81311, 23999, 94, 1, 20210908, 2693 
81312, 23999, 94, 1, 20210909, 2693 
81313, 23999, 94, 1, 20210910, 2693 
81314, 23999, 94, 1, 20210913, 2693 
81315, 23999, 94, 1, 20210914, 2693 
81316, 23999, 94, 1, 20210915, 2693 
81317, 23999, 94, 1, 20210916, 2693 
81318, 23999, 94, 1, 20210917, 2693 
81320, 24000, 94, 1, 20210907, 2694 
81321, 24000, 94, 1, 20210908, 2694 
81322, 24000, 94, 1, 20210909, 2694 
81323, 24000, 94, 1, 20210910, 2694 
81324, 24000, 94, 1, 20210913, 2694 
81325, 24000, 94, 1, 20210914, 2694 
81326, 24000, 94, 1, 20210915, 2694 
81327, 24000, 94, 1, 20210916, 2694 
81328, 24000, 94, 1, 20210917, 2694 
81330, 24001, 94, 1, 20210907, 2960 
81331, 24001, 94, 1, 20210908, 2960 
81332, 24001, 94, 1, 20210909, 2960 
81333, 24001, 94, 1, 20210910, 2960 
81334, 24001, 94, 1, 20210913, 2960 
81335, 24001, 94, 1, 20210914, 2960 
81336, 24001, 94, 1, 20210915, 2960 
81337, 24001, 94, 1, 20210916, 2960 
81338, 24001, 94, 1, 20210917, 2960 
81340, 24002, 94, 1, 20210907, 2689 
81341, 24002, 94, 1, 20210908, 2689 
81342, 24002, 94, 1, 20210909, 2689 
81343, 24002, 94, 1, 20210910, 2689 
81344, 24002, 94, 1, 20210913, 2689 
81345, 24002, 94, 1, 20210914, 2689 
81346, 24002, 94, 1, 20210915, 2689 
81347, 24002, 94, 1, 20210916, 2689 
81348, 24002, 94, 1, 20210917, 2689 
81367, 24021, 94, 0, 20210911, 2689 
81368, 24022, 94, 0, 20210911, 2690 
81369, 24023, 94, 0, 20210911, 2691 
81370, 24024, 94, 0, 20210911, 2692 
81371, 24025, 94, 0, 20210911, 7395 
81372, 24026, 94, 0, 20210911, 7396 
81373, 24027, 94, 1, 20210911, 7396 
81374, 24028, 94, 1, 20210911, 7606 
81375, 24029, 94, 1, 20210911, 2693 
81376, 24030, 94, 1, 20210911, 2694 
81377, 24031, 94, 1, 20210911, 2960 
81378, 24032, 94, 1, 20210911, 2689 
81379, 24033, 94, 0, 20210918, 7332 
81380, 24034, 94, 0, 20210918, 6931B 
81381, 24035, 94, 0, 20210918, 6932B 
81382, 24036, 94, 0, 20210918, 2140 
81383, 24037, 94, 0, 20210918, 2142 
81384, 24038, 94, 1, 20210918, 2150 
81385, 24039, 94, 1, 20210918, 5053B 
81386, 24040, 94, 1, 20210918, 2138B 
81387, 24041, 94, 1, 20210918, 6956B 
81388, 24042, 94, 1, 20210918, 2344 
81389, 24043, 94, 1, 20210918, 7574 
81408, 24062, 94, 0, 20210912, 2689 
81409, 24063, 94, 0, 20210912, 2690 
81410, 24064, 94, 0, 20210912, 2691 
